Date,Price
2023-07-29 00:07,"4500
"
2023-07-29 00:49,"4500
"
2023-07-29 01:12,"4500
"
2023-07-29 01:34,"4500
"
2023-07-29 01:56,"4500
"
2023-07-29 12:28,
2023-07-29 12:48,
2023-07-29 13:09,
2023-07-29 13:29,
2023-07-29 13:49,
2023-07-29 14:09,
2023-07-29 14:29,
2023-07-29 14:49,
2023-07-29 15:09,
2023-07-29 15:29,
2023-07-29 15:49,"20000
"
2023-07-29 16:09,"14000
"
2023-07-29 16:29,"14000
"
2023-07-29 16:49,"14000
"
2023-07-29 17:09,"14000
"
2023-07-29 17:30,"14000
"
2023-07-29 17:50,"14000
"
2023-07-29 18:10,"14000
"
2023-07-29 18:30,"13500
"
2023-07-29 18:50,"13500
"
2023-07-29 19:10,"13500
"
2023-07-29 19:30,"13500
"
2023-07-29 19:50,"13500
"
2023-07-29 20:10,"13000
"
2023-07-29 20:30,"13000
"
2023-07-29 20:50,"13000
"
2023-07-29 21:10,"13000
"
2023-07-29 21:30,"13000
"
2023-07-29 21:50,"13000
"
2023-07-29 22:10,"13000
"
2023-07-29 22:31,"13000
"
